===============================================================================================================
Blast BS
===============================================================================================================
Bit: 0, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 1, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 2, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 3, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 4, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 5, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 6, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 7, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 8, MSE: nan, MAE: nan, MRE: nan, PAP: 0.998
Bit: 34, MSE: 2.5665784423210204e-22, MAE: 2.5276707245798965e-09, MRE: 2.534853507007317e-09, PAP: 0.000
Bit: 35, MSE: 6.881403103523962e-23, MAE: 1.3429819282794643e-09, MRE: 1.3426778962756612e-09, PAP: 0.000
Bit: 36, MSE: 2.053388518681819e-23, MAE: 8.33631087237253e-10, MRE: 8.36748783158146e-10, PAP: 0.000
Bit: 37, MSE: 7.70976081066312e-24, MAE: 4.990211854849491e-10, MRE: 4.973082587754761e-10, PAP: 0.000
Bit: 38, MSE: 1.0181458553129005e-24, MAE: 1.6874446284731448e-10, MRE: 1.677508122590626e-10, PAP: 0.000
Bit: 39, MSE: 2.4634771859105224e-25, MAE: 7.946210356379879e-11, MRE: 7.931121501771014e-11, PAP: 0.000
Bit: 40, MSE: 6.660210207717505e-26, MAE: 4.63434846054156e-11, MRE: 4.595685922010527e-11, PAP: 0.000
Bit: 41, MSE: 2.0958981909417295e-26, MAE: 2.6993414039947416e-11, MRE: 2.6929354135130958e-11, PAP: 0.000
Bit: 42, MSE: 5.388113645320618e-27, MAE: 1.27809135823795e-11, MRE: 1.276742564032954e-11, PAP: 0.000
Bit: 43, MSE: 1.1687884654869113e-27, MAE: 5.505114882472147e-12, MRE: 5.5170344778964696e-12, PAP: 0.000
Bit: 44, MSE: 2.5124277422690527e-28, MAE: 2.4689298224903465e-12, MRE: 2.455450579326178e-12, PAP: 0.000
Bit: 45, MSE: 5.282360025352672e-29, MAE: 1.2614909117303341e-12, MRE: 1.2609441603207647e-12, PAP: 0.000
Bit: 46, MSE: 2.0465652123994362e-29, MAE: 7.991292812666492e-13, MRE: 7.985062100951523e-13, PAP: 0.000
Bit: 47, MSE: 5.31098299574977e-30, MAE: 3.712847023293494e-13, MRE: 3.7180055935159783e-13, PAP: 0.000
Bit: 48, MSE: 1.6047521764474826e-30, MAE: 1.8555242812331367e-13, MRE: 1.8490279205028667e-13, PAP: 0.000
